time,av_autocorr,av_autocorr_echo
0,0.982421875,0.974609375
1,-0.86328125,0.90625
2,0.904296875,0.689453125
3,-0.79296875,0.697265625
4,0.822265625,0.62109375
5,-0.658203125,0.46484375
6,0.73828125,0.34765625
7,-0.59765625,0.216796875
8,0.673828125,0.208984375
9,-0.544921875,0.087890625
10,0.5234375,0.10546875
11,-0.419921875,-0.111328125
12,0.341796875,-0.001953125
13,-0.248046875,-0.046875
14,0.458984375,-0.103515625
15,-0.33984375,-0.087890625
16,0.3203125,-0.142578125
17,-0.109375,-0.021484375
18,0.142578125,0.017578125
19,-0.212890625,-0.033203125